Motivo,Fuente,Validación,Páginas
No se ha encontrado (404),Sitio web,Error,26
Página alternativa con etiqueta canónica adecuada,Sitio web,Error,1
Página con redirección,Sitio web,No iniciada,6
Duplicada: Google ha elegido una versión canónica diferente a la del usuario,Sistemas de Google,No iniciada,2
Rastreada: actualmente sin indexar,Sistemas de Google,Iniciada,4
Error de servidor (5xx),Sitio web,Correcto,0
"Excluida por una etiqueta ""noindex""",Sitio web,Correcto,0
